refnis,pop_densit,Distance T,nb_poi_sco,score_pent,score_dens,score_tram,score_bus_score_bus,score_imat_score_imat
33029,"438.443613363926",3,3,5,3,1,"2","2"
24130,"185.035084726985",2,2,5,2,1,"3","3"
12005,"529.5491727070261",3,3,3,3,1,"3","2"
71045,"319.423058870736",2,2,5,3,1,"3","4"
71011,"469.041566215832",2,2,4,3,1,"3","4"
11002,"2637.62773823713",3,5,4,5,4,"3","1"
43005,"727.1156124990059",4,4,5,4,1,"3","2"
34041,"812.3827624616571",3,4,5,4,1,"2","3"
24043,"261.955119233032",3,2,4,2,1,"2","2"
21016,"3763.9888375639102",3,5,3,5,4,"4","3"
13035,"161.224707361599",1,3,4,2,1,"1","4"
71067,"228.72736622819997",2,2,3,2,1,"1","4"
64065,"343.80428834567",3,2,3,3,1,"3","5"
63084,"425.34129644512603",3,3,4,3,1,"3","4"
11022,"326.919866456719",4,3,4,3,1,"2","3"
93014,"67.6437049321098",3,3,2,1,1,"1","4"
62015,"1646.6212898689",3,2,2,5,1,"3","3"
52012,"1298.62298497591",5,4,3,5,1,"4","3"
41011,"1512.67500920674",5,2,4,5,1,"3","1"
38014,"430.177986539067",3,5,5,3,3,"2","4"
34022,"978.322262828264",3,5,4,4,1,"3","4"
31006,"123.347426951758",1,2,5,1,1,"1","4"
25048,"200.57757226733003",1,2,4,2,1,"3","4"
25044,"200.955077618649",2,2,3,2,1,"3","4"
25037,"253.214042584421",2,2,3,2,1,"3","4"
24011,"268.676328304046",2,2,4,2,1,"3","2"
23086,"667.26135269028",4,3,4,4,1,"3","2"
23062,"577.443977509159",3,3,3,3,1,"3","3"
12014,"510.26590246234804",3,3,4,3,1,"2","3"
12002,"487.198193684869",4,2,5,3,1,"3","2"
82038,"27.2198897224864",1,1,2,1,1,"1","4"
81015,"160.811282467887",2,3,2,2,1,"3","4"
64074,"500.322530790959",4,2,4,3,1,"3","4"
51012,"133.733837550363",4,2,4,1,1,"1","4"
46020,"359.20900274501497",2,2,5,3,1,"2","2"
21015,"16551.0382636211",4,5,3,5,5,"5","1"
21013,"19466.0501476836",5,5,3,5,5,"5","1"
24048,"711.658559209604",2,2,3,4,1,"2","4"
