refnis,km/j/pers,imat_communes_IMAT,int_moy,total_Mkm
52012,54,16324,5,321.74604
41011,48,8881,4,124.476096
38014,48,12368,4,173.349888
34022,48,44210,5,774.5592
31006,48,6365,1,22.30296
25048,54,7582,2,59.776488
25044,54,3836,3,45.364536
25037,54,7677,2,60.525468
24011,48,4896,2,34.311168
23086,48,8077,4,113.207232
23062,48,14292,3,150.237504
12014,48,23658,3,248.692896
12002,48,6087,3,63.986544
82038,54,1401,1,5.522742
81015,54,4581,2,36.116604
64074,54,7717,3,91.261242
51012,54,1911,2,15.066324
46020,48,10150,2,71.1312
21015,59,37222,5,801.57577
21013,59,13173,5,283.680555
24048,48,7582,2,53.134656
23099,48,6610,5,115.8072
71016,48,36486,5,639.23472
63079,54,23981,5,472.66551
93018,54,1674,1,6.598908
93010,54,2773,1,10.931166
92137,54,13958,4,220.089744
85009,54,3505,2,27.63342
84043,54,4342,2,34.232328
36010,48,5219,2,36.574752
36006,48,5663,3,59.529456
24133,48,3930,2,27.54144
23009,48,1173,1,4.110192
23003,48,13024,3,136.908288
13011,48,15778,4,221.144448
12040,48,12614,4,176.797824
82014,54,2838,1,11.187396
81013,54,1060,1,4.17852
81003,54,3013,1,11.877246
63089,54,3680,3,43.51968
63048,54,3528,3,41.722128
73028,48,41,2,0.287328
25121,54,14356,4,226.365408
21009,59,35919,5,773.515665
72020,48,19455,4,272.68128
63075,54,1871,1,7.375482
11007,48,4683,3,49.227696
63058,54,4812,4,75.875616
53084,54,4733,2,37.314972
53028,54,10493,4,165.453624
32010,48,4762,2,33.372096
32003,48,9022,2,63.226176
81004,54,8882,3,105.038532
64034,54,9272,3,109.650672
58004,54,9492,3,112.252392
52018,54,4914,3,58.112964
35013,48,28544,5,500.09088
25118,54,2004,2,15.799536
25015,54,6052,4,95.427936
23088,48,18746,4,262.743936
21012,59,23797,5,512.468395
64008,54,1801,2,14.199084
62108,54,9342,4,147.304656
62011,54,4876,2,38.442384
61079,54,2501,1,9.858942
61048,54,1579,1,6.224418
24007,48,5852,3,61.516224
13025,48,19621,3,206.255952
13002,48,1626,2,11.395008
72042,48,13666,2,95.771328
71024,48,7117,3,74.813904
92054,54,4052,1,15.972984
92035,54,8945,1,35.26119
62100,54,9016,3,106.623216
56086,54,8153,3,96.417378
52022,54,9094,3,107.545644
34040,48,23314,4,326.769024
34009,48,7163,4,100.396608
73022,48,4111,1,14.404944
25072,54,15211,5,299.80881
13031,48,7723,2,54.122784
85026,54,2553,1,10.063926
83034,54,9554,2,75.323736
61031,54,10488,3,124.031088
42028,48,9783,4,137.118528
42023,48,6119,3,64.322928
41048,48,19052,3,200.274624
34013,48,15527,4,217.626432
34002,48,8314,2,58.264512
25124,54,3949,2,31.133916
24109,48,8281,3,87.049872
13053,48,9220,3,96.92064
13013,48,7984,2,55.951872
83031,54,2169,1,8.550198
72003,48,7538,2,52.826304
71017,48,4630,2,32.44704
62120,54,13554,4,213.719472
62096,54,28717,4,452.809656
62093,54,10505,4,165.64284
62006,54,5425,3,64.15605
62003,54,14085,4,222.09228
56001,54,6418,4,101.199024
53014,54,9275,4,146.2482
46013,48,8174,2,57.283392
36008,48,15570,5,272.7864
23033,48,5502,2,38.558016
11056,48,10217,4,143.201472
11038,48,4234,4,59.343744
