refnis,moyenne_evitees,ci_2.5,ci_97.5
62051,10879.895811614408,10454.111339743684,11320.648017811931
57062,1274.977862701397,1206.8302421680432,1348.6984328791023
33016,142.6955463694997,135.94925447372867,150.0451374069828
23101,4755.136073419376,4599.509551439097,4917.837202323125
21011,3364.6824068574906,3203.6627149623173,3520.2347465943258
63046,1123.6846881114047,1074.3000910923604,1173.3722196067913
61024,660.6646158588543,617.203953202708,704.3092417039232
52055,4414.284548068906,4236.969371282017,4601.301673872776
51017,1254.2925502954013,1185.0622258769702,1324.8243656392476
46021,17763.450311957582,17035.418155757936,18497.983162224995
45060,1121.9129961773856,1073.9599255075052,1172.531731337247
41081,6545.92220467469,6236.008656827763,6856.881146220612
35014,1935.0231127737268,1842.4345589777506,2038.969238752897
32030,422.8585494748589,391.77059906635554,458.46802213197117
23060,3437.659119450311,3284.0807561527986,3596.703468723784
23039,2280.6317292321132,2178.7438816913045,2386.1458528564995
13016,2974.457726914938,2854.721075971314,3098.637784815951
63086,523.9371169144678,478.6454180074908,568.5737390807279
62121,2880.204648971734,2744.6656324343135,3019.284083441955
64076,862.4180998909106,794.27321040596,933.5760048730261
91034,2349.4485592745223,2244.851710211844,2454.7179275219596
91030,3492.0281867131143,3316.1217951229933,3670.502069961111
91005,1573.3343283894835,1475.7413321050167,1672.6727478262997
61068,1634.3561742224986,1532.3881923367092,1740.1810619721316
55040,6119.058514054159,5857.019103600178,6386.729508321138
52048,2869.948052377578,2730.3140986243816,3009.5392857485667
52021,6238.216733982166,5952.459736077474,6531.080284706326
51069,4218.8080094385505,4003.5421297720372,4439.021547855114
51004,8169.203079021505,7757.783085862729,8580.405995536612
44045,1062.1112411947333,1000.7943271640746,1130.497034732975
44043,7005.450853995017,6759.214698629492,7256.420930333971
42010,3113.09437225516,2998.5945504983924,3234.513892139125
37002,1601.508536731491,1499.2239062153205,1711.4997872481315
25123,2665.713300256742,2545.54059079996,2790.354854828008
63088,2384.308322973147,2283.2686906204076,2486.0243639515647
58003,1736.5061347641156,1621.669391860778,1854.0956969608596
57093,1559.6723142080505,1470.5825884899468,1653.7257542503385
56051,920.1970058101391,863.9956081869246,979.592962214866
44064,2852.0649932198266,2736.466779088823,2974.180872879996
44048,3548.4438933531924,3395.3893656633327,3708.3447618137066
43014,1270.4609356236651,1197.1896066857776,1350.439440391081
34025,1230.6526890191694,1175.5265709627504,1289.1372851540946
31004,4850.88673621189,4643.237817620294,5058.550195123934
64063,1564.2021925735871,1468.1917606826523,1665.786465133314
23102,4146.174739643414,3952.7440093183413,4340.968042080807
13029,3086.970268908227,2966.7848300682263,3211.543106260275
72043,9012.498199110163,8596.408158444563,9434.5340488665
11039,5389.287682090768,5104.523422050282,5683.626568667993
11025,1946.320452308794,1846.3438967579445,2050.603160774956
11016,4332.462165692997,4147.484588354187,4525.516531870907
62009,2879.5147651769303,2708.925345012507,3046.3884510505286
53082,4740.695582194528,4520.044697922765,4963.898081346118
45061,1308.5509374424823,1221.0473699163583,1398.4451815125615
42004,3435.019942461785,3258.8597231795484,3613.829957007504
36012,2468.9793255223235,2360.9279843304043,2587.775523858862
32006,1808.9765437793885,1704.5629363487326,1924.8496521205643
31042,491.8629452952103,451.5385740207532,533.9419339977475
11057,3171.775429246241,3047.0074822328047,3305.51730065106
73109,960.4592613139549,910.130158895628,1011.9826050784842
24062,58703.527072661615,56496.72513851922,60956.840604918114
45041,5345.901616296047,5109.802984260901,5592.291822711154
36011,2106.7612884600817,1993.3882256050665,2220.5813270390618
21008,4202.262504562686,3990.186280236668,4411.825888039153
71066,4519.398763667537,4341.619435320901,4709.964855675277
11040,8854.11074425733,8453.516825530272,9265.479741290563
62032,3933.189699607061,3748.0155044684006,4119.122870284223
61039,1141.5118856678612,1068.1300286049852,1217.8987519887942
51065,2570.7911253871057,2428.897032513278,2715.352746916874
37010,1649.3550881516855,1572.9124058002997,1733.9572534387946
37007,2523.1809366650864,2411.800169459935,2646.3779866787168
35002,4374.501537046591,4216.861572288662,4529.331588511666
25005,1598.3379210585497,1524.823678858562,1675.3943075818047
24135,2650.9263080487253,2545.8148258886463,2759.1755335646444
24009,2016.2120211463705,1950.7711260150288,2083.059804734652
21003,4265.333160520665,4060.2650556460535,4463.761216105461
13017,4278.7215928961405,4113.945776880586,4449.015279810602
12009,4068.8534923281454,3900.428647700803,4239.5906571488995
11001,29329.930857430052,28071.224178697546,30647.78698910644
92094,29732.64955167363,28492.498883114957,30994.7760582433
63040,2475.604028192524,2360.8129783870268,2591.0221967642624
61081,628.2477394583675,582.8283983035469,675.2608339169469
61019,986.691798849848,910.0277663685273,1064.0152717316664
57003,1523.7745178221933,1458.6863925140506,1591.5537101190685
43018,2498.785515131169,2365.7541841298535,2629.9333801930475
25110,11088.830581011223,10670.323470097592,11518.61982527378
11023,6542.261972838291,6299.813930941237,6786.1883433057
11013,5058.2941974413725,4823.273558338758,5296.706700405619
11005,4198.814705759833,3959.0925694261027,4441.140080742772
93056,1958.222949312187,1833.9912420424887,2087.5025876263776
91059,1239.0573582685222,1162.727421018891,1318.1342610762244
62026,1168.1180259708365,1090.433708617206,1247.000884360421
56044,1364.1517812073942,1286.4126796022492,1442.559984010791
44052,2513.480941318069,2410.7489597116164,2621.6462039878247
43010,6326.305716329676,5983.523104848292,6676.942817666148
34003,1761.3594375868045,1658.0447740540098,1870.5893496292763
33021,3942.335747430589,3757.7448822167285,4144.023706735983
23100,1406.1639715186518,1341.9353334385612,1472.1340363448771
23032,1318.0310073919272,1265.516449339296,1374.038153777
23023,1761.8047533801337,1691.0605618780312,1835.245519050141
12029,4333.250134754105,4180.85803524058,4493.431149704061
83012,2444.4983526536776,2320.125378100005,2569.4578230897164
53068,1317.8399282816968,1267.7250657855288,1371.2190610562789
46024,3867.888642443794,3715.737730136302,4030.9829966833713
24033,3770.1319235238707,3591.636835477192,3949.229107353887
24020,6099.297717734203,5847.110596542406,6349.642821222707
23105,2889.66688014761,2763.6329810157117,3020.895030885614
63072,2188.6525175086713,2089.4683134797815,2288.2061725634617
11044,4407.73472225902,4212.431165553867,4605.176855243531
92006,1430.821721270611,1326.9183672923848,1536.0794380441525
91143,377.1607867217267,350.48668949124453,404.85701287400275
85046,1745.3661508083571,1642.7101811875295,1849.7085964114406
84016,199.48511787407796,185.00472767655452,214.00624617976356
63020,2844.27684314375,2693.20906073815,2997.520982156945
51009,2856.1850858042935,2734.059663055549,2983.1149443175964
43002,2833.843736573584,2676.254033446403,3005.1414714468283
23097,2212.8759480727545,2122.7636772087803,2306.474057760644
12026,5131.587857237648,4908.052044201383,5357.372052524615
82005,607.1219337115857,552.6132623664447,663.8950554622674
72018,2814.6840997860504,2648.030354392172,2991.832439403105
71070,8403.57285872252,7990.636009955059,8829.851720231942
71037,3680.268327373431,3530.8347577279324,3831.544060033978
11050,3132.7296008465814,3009.8176955874555,3251.5744509337537
24055,25670.256872175916,24673.57585173861,26704.86764268853
62119,3608.0549705668273,3432.102324073037,3789.651115263794
56078,4139.6896208737235,3943.795353749705,4341.933969141392
31040,6151.599179169894,5902.202937457661,6403.154798898442
24028,1335.1332520576955,1272.3131170118627,1401.6250593601155
63080,1323.7807545530668,1242.9303191758092,1409.226831306625
91013,1689.6147748156,1586.8431742867986,1793.24628809585
51067,2680.352396505139,2578.4238626146353,2788.9201241822625
23050,4575.657527341176,4414.740424574895,4744.799267143989
13019,3574.029673012997,3436.3919129838505,3716.2765280478097
83028,1125.3739706465976,1060.6785758681224,1191.271542491591
73098,1740.9879361324438,1660.912623448048,1824.9215258767858
73066,3265.7701451725366,3102.912107979069,3437.419363423304
24054,1563.0366495773399,1485.0908452200129,1645.1900183298349
92097,1087.9288130069351,1006.7549183221722,1171.4333798635685
53020,3772.525660053418,3627.5063311650224,3923.8407572621472
21007,9851.03634497594,9424.08952312548,10261.312342677633
13046,2459.816683764171,2352.530861327542,2571.5240908644455
71034,4435.907009298663,4255.752311295042,4620.700600062993
64025,736.2180544796694,677.7120280739755,797.2385687751212
